num,sentence,fileid,senseid
,"Schließlich bestrafte das Disziplinarkommitee der UEFA den Trainer des Clubs , José_Mourinho , mit zwei Spielen und die beteiligten Spieler mit unterschiedlichen <WSD>Geldbeträgen<WSD> .",d007.s006.t006,bn:00055644n
,"Die <WSD>Provokation<WSD> einer gelben_Karte unter solchen oder ähnlichen Umständen ist keine neue Praxis , sie ist eher häufig in der Welt des Fußballs anzutreffen .",d007.s007.t001,bn:16416212n
,"Die Provokation einer <WSD>gelben_Karte<WSD> unter solchen oder ähnlichen Umständen ist keine neue Praxis , sie ist eher häufig in der Welt des Fußballs anzutreffen .",d007.s007.t002,bn:04052026n
,"Die Provokation einer gelben_Karte unter solchen oder ähnlichen <WSD>Umständen<WSD> ist keine neue Praxis , sie ist eher häufig in der Welt des Fußballs anzutreffen .",d007.s007.t003,bn:00019218n
,"Die Provokation einer gelben_Karte unter solchen oder ähnlichen Umständen ist keine neue <WSD>Praxis<WSD> , sie ist eher häufig in der Welt des Fußballs anzutreffen .",d007.s007.t004,bn:00028736n
,"Die Provokation einer gelben_Karte unter solchen oder ähnlichen Umständen ist keine neue Praxis , sie ist eher häufig in der <WSD>Welt<WSD> des Fußballs anzutreffen .",d007.s007.t005,bn:00045153n
,"Die Provokation einer gelben_Karte unter solchen oder ähnlichen Umständen ist keine neue Praxis , sie ist eher häufig in der Welt des <WSD>Fußballs<WSD> anzutreffen .",d007.s007.t006,bn:00006547n
,"Sie ist so weit verbreitet , dass sie <WSD>Teil<WSD> des Ethos - der ungeschriebenen , aber in dieser Sportart befolgten Regeln - ist .",d007.s008.t001,bn:00060765n
,"Sie ist so weit verbreitet , dass sie Teil des <WSD>Ethos<WSD> - der ungeschriebenen , aber in dieser Sportart befolgten Regeln - ist .",d007.s008.t002,bn:00031735n
,"Sie ist so weit verbreitet , dass sie Teil des Ethos - der ungeschriebenen , aber in dieser <WSD>Sportart<WSD> befolgten Regeln - ist .",d007.s008.t003,bn:14260483n
,"Sie ist so weit verbreitet , dass sie Teil des Ethos - der ungeschriebenen , aber in dieser Sportart befolgten <WSD>Regeln<WSD> - ist .",d007.s008.t004,bn:03684971n
,"<WSD>Teil<WSD> der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t001,bn:00060765n
,"Teil der aufgekommenen <WSD>Debatte<WSD> um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t002,bn:00025621n
,"Teil der aufgekommenen Debatte um den dargestellten <WSD>Fall<WSD> geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t003,bn:00016402n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein <WSD>Team<WSD> des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t004,bn:00073699n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des <WSD>Fußballclubs<WSD> Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t005,
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs <WSD>Real_Madrid<WSD> ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t006,bn:01997706n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner <WSD>Hymne<WSD> Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t007,bn:00004527n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne <WSD>Edelmut<WSD> und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t008,bn:00041354n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und <WSD>Ehre<WSD> vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t009,bn:00044654n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen <WSD>Gelegenheiten<WSD> seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t010,bn:05542627n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche <WSD>Vorfälle<WSD> bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t011,bn:00046282n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die <WSD>Hauptrolle<WSD> spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t012,bn:00251470n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die <WSD>Dramatisierung<WSD> durch Mourinho , der eine Episode mehr zu seiner langen Geschichte als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t013,bn:00028615n
,"Teil der aufgekommenen Debatte um den dargestellten Fall geht darauf zurück , dass ein Team des Fußballclubs Real_Madrid ( der in seiner Hymne Edelmut und Ehre vorgibt und bei anderen Gelegenheiten seine Spieler für ähnliche Vorfälle bestraft hatte ) dabei die Hauptrolle spielten , und auf die Dramatisierung durch Mourinho , der eine Episode mehr zu seiner langen <WSD>Geschichte<WSD> als theatralischer und provozierender Techniker hinzugefügt hat .",d007.s009.t014,bn:00044268n
,"Auf jeden <WSD>Fall<WSD> dreht sich die Debatte darum , ob diese nicht ausdrücklich von den Statuten verbotene Verhaltensweise den Prinzipien des Sports widerspricht , das heißt , ob diese Handlungen eine Regelumgehung darstellen .",d007.s010.t001,bn:00016402n
,"Auf jeden Fall dreht sich die <WSD>Debatte<WSD> darum , ob diese nicht ausdrücklich von den Statuten verbotene Verhaltensweise den Prinzipien des Sports widerspricht , das heißt , ob diese Handlungen eine Regelumgehung darstellen .",d007.s010.t002,bn:00025621n
,"Auf jeden Fall dreht sich die Debatte darum , ob diese nicht ausdrücklich von den Statuten verbotene Verhaltensweise den <WSD>Prinzipien<WSD> des Sports widerspricht , das heißt , ob diese Handlungen eine Regelumgehung darstellen .",d007.s010.t004,bn:00064426n
,"Auf jeden Fall dreht sich die Debatte darum , ob diese nicht ausdrücklich von den Statuten verbotene Verhaltensweise den Prinzipien des <WSD>Sports<WSD> widerspricht , das heißt , ob diese Handlungen eine Regelumgehung darstellen .",d007.s010.t005,bn:00006759n
,"Auf jeden Fall dreht sich die Debatte darum , ob diese nicht ausdrücklich von den Statuten verbotene Verhaltensweise den Prinzipien des Sports widerspricht , das heißt , ob diese <WSD>Handlungen<WSD> eine Regelumgehung darstellen .",d007.s010.t006,bn:04094578n
,"Tatsächlich hält diese <WSD>Vorgehensweise<WSD> sich an die Statuten des Sports , scheinen aber dessen Sinn zu umgehen .",d007.s011.t001,bn:00023287n
,"Tatsächlich hält diese Vorgehensweise sich an die Statuten des <WSD>Sports<WSD> , scheinen aber dessen Sinn zu umgehen .",d007.s011.t003,bn:00006759n
,"Tatsächlich hält diese Vorgehensweise sich an die Statuten des Sports , scheinen aber dessen <WSD>Sinn<WSD> zu umgehen .",d007.s011.t004,bn:00000657n
