U.N. group drafts plan to reduce emissions	1	2	d000.s000.t000	group	NOUN	group%1:03:00::
U.N. group drafts plan to reduce emissions	3	4	d000.s000.t001	plan	NOUN	plan%1:09:00::
U.N. group drafts plan to reduce emissions	6	7	d000.s000.t002	emission	NOUN	emission%1:27:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	2	3	d000.s001.t000	climate	NOUN	climate%1:26:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	3	4	d000.s001.t001	conference	NOUN	conference%1:14:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	10	11	d000.s001.t002	posturing	NOUN	posturing%1:07:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	13	14	d000.s001.t003	recrimination	NOUN	recrimination%1:10:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	17	18	d000.s001.t004	focus	NOUN	focus%1:09:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	18	19	d000.s001.t005	friday	NOUN	friday%1:28:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	21	22	d000.s001.t006	release	NOUN	release%1:22:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	24	25	d000.s001.t007	document	NOUN	document%1:10:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	28	29	d000.s001.t008	reduction	NOUN	reduction%1:04:00::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	33	34	d000.s001.t009	year	NOUN	year%1:28:01::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	42	43	d000.s001.t010	burden	NOUN	burden%1:09:01::
The U.N.-sponsored climate conference -- characterized so far by unruly posturing and mutual recriminations -- gained renewed focus Friday with the release of a document outlining ambitious greenhouse-gas reductions over the next 40 years , with industrialized nations shouldering most of the burden in the near term .	46	47	d000.s001.t011	term	NOUN	term%1:28:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	1	2	d000.s002.t000	text	NOUN	text%1:10:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	7	8	d000.s002.t001	basis	NOUN	basis%1:09:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	12	13	d000.s002.t002	deal	NOUN	deal%1:10:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	15	17	d000.s002.t003	greenhouse_gas	NOUN	greenhouse_gas%1:27:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	21	22	d000.s002.t004	obstacle	NOUN	obstacle%1:09:00::
The text , which could provide the basis for a final political deal to regulate greenhouse gases , highlighted the remaining obstacles as much as it illuminated a path forward .	28	29	d000.s002.t005	path	NOUN	path%1:04:00::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	7	8	d000.s003.t000	advance	NOUN	advance%1:11:01::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	10	11	d000.s003.t001	negotiation	NOUN	negotiation%1:10:00::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	16	17	d000.s003.t002	time	NOUN	time%1:28:05::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	22	23	d000.s003.t003	world	NOUN	world%1:05:00::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	23	24	d000.s003.t004	leader	NOUN	leader%1:18:00::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	26	27	d000.s003.t005	copenhagen	NOUN	copenhagen%1:15:00::
But it was seen as an important advance in a negotiation that is running out of time , with more than 100 world leaders arriving in Copenhagen next week .	28	29	d000.s003.t006	week	NOUN	week%1:28:02::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	5	7	d000.s004.t000	working_group	NOUN	working_group%1:14:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	9	10	d000.s004.t001	text	NOUN	text%1:10:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	15	16	d000.s004.t002	money	NOUN	money%1:21:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	17	18	d000.s004.t003	country	NOUN	country%1:14:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	21	22	d000.s004.t004	one	NOUN	one%1:09:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	25	27	d000.s004.t005	global_warming	NOUN	global_warming%1:22:00::
Forged by a U.N. ad-hoc working group , the text is silent on how much money rich countries would give poor ones to cope with global warming over the short and long term .	32	33	d000.s004.t006	term	NOUN	term%1:28:00::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	4	5	d000.s005.t000	range	NOUN	range%1:07:00::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	6	7	d000.s005.t001	option	NOUN	option%1:09:00::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	10	11	d000.s005.t002	question	NOUN	question%1:10:01::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	30	32	d000.s005.t003	upper_limit	NOUN	upper_limit%1:23:00::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	34	35	d000.s005.t004	temperature	NOUN	temperature%1:07:00::
And it provides a range of options for the key questions , including how developed and major emerging economies would cut their carbon output , and what would be the upper limit of global temperature rise that policymakers would be willing to tolerate .	35	36	d000.s005.t005	rise	NOUN	rise%1:11:00::
