num,sentence,fileid,senseid
,Un <WSD>grupo<WSD> de la ONU esboza un plan para reducir las emisiones,d001.s001.t001,bn:00041942n
,Un grupo de la <WSD>ONU<WSD> esboza un plan para reducir las emisiones,d001.s001.t002,bn:00078931n
,Un grupo de la ONU esboza un <WSD>plan<WSD> para reducir las emisiones,d001.s001.t003,bn:00062759n
,Un grupo de la ONU esboza un plan para reducir las <WSD>emisiones<WSD>,d001.s001.t004,bn:08331701n
,"La <WSD>conferencia<WSD> sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t001,bn:00021721n
,"La conferencia sobre el <WSD>clima<WSD> patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t002,bn:00019780n
,"La conferencia sobre el clima patrocinada por la <WSD>ONU<WSD> , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t003,bn:00078931n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y <WSD>recriminaciones<WSD> mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t004,bn:00066603n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada <WSD>atención<WSD> el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t005,bn:00007020n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el <WSD>viernes<WSD> con la divulgación de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t006,bn:00036512n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la <WSD>divulgación<WSD> de un documento que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t007,bn:00027944n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un <WSD>documento<WSD> que prevé ambiciosas reducciones de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t008,bn:00028015n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas <WSD>reducciones<WSD> de los gases_de_efecto_invernadero durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t009,bn:00025780n
,"La conferencia sobre el clima patrocinada por la ONU , caracterizada hasta ahora por posturas desafiantes y recriminaciones mutuas , captó una renovada atención el viernes con la divulgación de un documento que prevé ambiciosas reducciones de los <WSD>gases_de_efecto_invernadero<WSD> durante los próximos 40 años , con las naciones industrializadas que llevan sobre sus hombros la mayor_parte de la carga en el corto plazo .",d001.s002.t010,bn:00041712n
