num,sentence,fileid,senseid
,Le <WSD>groupe<WSD> des Nations_Unies a des projets de plans pour la réduction des émissions,d001.s001.t001,bn:00041942n
,Le groupe des <WSD>Nations_Unies<WSD> a des projets de plans pour la réduction des émissions,d001.s001.t002,bn:00078931n
,Le groupe des Nations_Unies a des <WSD>projets<WSD> de plans pour la réduction des émissions,d001.s001.t003,
,Le groupe des Nations_Unies a des projets de <WSD>plans<WSD> pour la réduction des émissions,d001.s001.t004,bn:00062759n
,Le groupe des Nations_Unies a des projets de plans pour la <WSD>réduction<WSD> des émissions,d001.s001.t005,bn:00025780n
,Le groupe des Nations_Unies a des projets de plans pour la réduction des <WSD>émissions<WSD>,d001.s001.t006,bn:00030455n
,"La <WSD>conférence<WSD> sur le climat , sponsorisée par l' ONU -- caractérisée jusqu' à présent par des affectations désorganisées et des récriminations mutuelles -- est revenue sous les feux_de_la_rampe vendredi , en raison de la publication d' un document soulignant les réductions ambitieuses des gaz_à_effet_de_serre au cours des 40 prochaines années , avec les nations industrialisées épaulant la plupart de la charge , dans les prochains temps .",d001.s002.t001,bn:00021721n
,"La conférence sur le <WSD>climat<WSD> , sponsorisée par l' ONU -- caractérisée jusqu' à présent par des affectations désorganisées et des récriminations mutuelles -- est revenue sous les feux_de_la_rampe vendredi , en raison de la publication d' un document soulignant les réductions ambitieuses des gaz_à_effet_de_serre au cours des 40 prochaines années , avec les nations industrialisées épaulant la plupart de la charge , dans les prochains temps .",d001.s002.t002,bn:00019780n
,"La conférence sur le climat , sponsorisée par l' ONU -- caractérisée jusqu' à présent par des <WSD>affectations<WSD> désorganisées et des récriminations mutuelles -- est revenue sous les feux_de_la_rampe vendredi , en raison de la publication d' un document soulignant les réductions ambitieuses des gaz_à_effet_de_serre au cours des 40 prochaines années , avec les nations industrialisées épaulant la plupart de la charge , dans les prochains temps .",d001.s002.t003,
,"La conférence sur le climat , sponsorisée par l' ONU -- caractérisée jusqu' à présent par des affectations désorganisées et des <WSD>récriminations<WSD> mutuelles -- est revenue sous les feux_de_la_rampe vendredi , en raison de la publication d' un document soulignant les réductions ambitieuses des gaz_à_effet_de_serre au cours des 40 prochaines années , avec les nations industrialisées épaulant la plupart de la charge , dans les prochains temps .",d001.s002.t004,bn:00066603n
