num,sentence,fileid,senseid
,Il <WSD>gruppo<WSD> delle Nazioni_Unite propone una bozza per ridurre le emissioni,d001.s001.t001,bn:00041942n
,Il gruppo delle <WSD>Nazioni_Unite<WSD> propone una bozza per ridurre le emissioni,d001.s001.t002,bn:00078931n
,Il gruppo delle Nazioni_Unite propone una bozza per ridurre le <WSD>emissioni<WSD>,d001.s001.t003,bn:00030455n
,"La <WSD>conferenza<WSD> sul clima sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' attenzione sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t001,bn:00050486n bn:00021721n
,"La conferenza sul <WSD>clima<WSD> sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' attenzione sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t002,bn:00019780n
,"La conferenza sul clima sponsorizzata dalle <WSD>Nazioni_Unite<WSD> -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' attenzione sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t003,bn:00078931n
,"La conferenza sul clima sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da <WSD>atteggiamenti<WSD> ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' attenzione sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t004,bn:00007047n
,"La conferenza sul clima sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso <WSD>Venerdì<WSD> ha riportato l' attenzione sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t005,bn:00036512n
,"La conferenza sul clima sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' <WSD>attenzione<WSD> sul tema , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t006,bn:00007023n
,"La conferenza sul clima sponsorizzata dalle Nazioni_Unite -- finora caratterizzata da atteggiamenti ribelli e mutue ritorsioni -- lo scorso Venerdì ha riportato l' attenzione sul <WSD>tema<WSD> , con il rilascio di un documento che delinea ambiziose riduzioni dei gas-serra nei prossimi 40 anni , mentre le nazioni_industrializzate si fanno carico della maggior_parte delle ’ onere nel breve_termine .",d001.s002.t007,bn:00074900n
